Family,Binomial,Method,Injection,Dosage mg/kg,Tested on
Elapidae,Pseudechis guttatus,LD50,SC,1.53,Mouse
Viperidae,Bothrops taeniatus,LD50,IV,1.55,Mouse
Viperidae,Bitis parviocula,LD50,IV,1.56,Mouse
Viperidae,Crotalus helleri,LD50,IP,1.56,Mouse
Viperidae,Bothriechis schlegelii,LD50,IV,1.6,Mouse
Elapidae,Hemachatus haemachatus,LD50,IP,1.6,Mouse
Elapidae,Naja nigricollis,LDLo,SC,1.6,Rabbit
Viperidae,Crotalus helleri,LD50,IP,1.6,Mammal
Viperidae,Crotalus willardi,LD50,IV,1.61,Mouse
Viperidae,Bothrops jararaca,LD50,IP,1.63,Mouse
Viperidae,Crotalus horridus,LD50,IV,1.644,Mouse
Viperidae,Craspedocephalus gramineus,LD50,IV,1.645,Mouse
Viperidae,Crotalus adamanteus,LD50,IP,1.67,Mouse
Viperidae,Crotalus adamanteus,LD50,IV,1.68,Mammal
Elapidae,Naja sputatrix,LD50,IP,1.7,Mouse
Elapidae,Naja haje,LDLo,SC,1.7,Mouse
Elapidae,Micrurus nigrocinctus,LD50,SC,1.7,Mouse
Elapidae,Naja annulifera,LD50,SC,1.75,Mouse
Colubridae,Boiga irregularis,LD50,IP,1.75,Chicken
Viperidae,Bothrops erythromelas,LD50,IV,1.8,Mouse
Viperidae,Bothrops pauloensis,LD50,IP,1.81,Mouse
Elapidae,Micrurus multifasciatus,LD50,IV,1.875,Mouse
Viperidae,Crotalus adamanteus,LD50,IP,1.89,Mammal
Viperidae,Daboia palaestinae,LD50,IP,1.9,Mouse
Viperidae,Calloselasma rhodostoma,LD50,IM,1.9,Dog
Elapidae,Hemachatus haemachatus,LDLo,SC,1.9,Pigeon
Viperidae,Crotalus scutulatus,LDLo,IV,1.9,Rat
Viperidae,Crotalus atrox,LDLo,IM,1.9,Rabbit
Elapidae,Pseudechis australis,LD50,SC,1.91,Mouse
Viperidae,Montivipera bornmuelleri,LD50,IP,1.92,Mouse
Elapidae,Naja annulifera,LD50,IV,1.98,Mouse
Viperidae,Bitis arietans,LD50,IM,2,Mouse
Elapidae,Naja nigricollis,LD50,SC,2,Mouse
Elapidae,Micrurus fulvius,LDLo,IV,2,Cat
Viperidae,Daboia palaestinae,LDLo,IM,2,Rabbit
Viperidae,Vipera ammodytes,LD50,SC,2,Mouse
Elapidae,Naja mossambica,LD50,unknown,2,Mouse
Elapidae,Naja oxiana,LD50,IP,2,Mouse
Viperidae,Crotalus atrox,LDLo,IM,2,Dog
Viperidae,Crotalus adamanteus,LDLo,IP,2,Guinea Pig
Colubridae,Hydrodynastes gigas,LD50,IP,2,Mouse
Elapidae,Naja pallida,LD50,IP,2,Mouse
Elapidae,Micrurus frontalis,LD50,SC,2.04,Mouse
Viperidae,Agkistrodon piscivorus,LD50,SC,2.044,Mouse
Viperidae,Gloydius brevicauda,LD50,IV,2.044,Mouse
Homalopsidae,Myrrophis chinensis,LD50,IV,2.05,Mouse
Viperidae,Montivipera latifii,LD50,IP,2.07,Mouse
Viperidae,Bothrops ayerbei,LD50,IP,2.07778,Mouse
Viperidae,Crotalus cerastes,LD50,IP,2.08,Mouse
Viperidae,Daboia siamensis,LD50,IM,2.1,Mouse
Viperidae,Trimeresurus erythrurus,LD50,IV,2.1,Mouse
Viperidae,Crotalus lutosus,LD50,IP,2.1,Mouse
Elapidae,Micrurus surinamensis,LD50,IP,2.15,Mouse
Viperidae,Crotalus ruber,LD50,IV,2.17,Mouse
Viperidae,Crotalus lutosus,LD50,IP,2.2,Mammal
Viperidae,Bothrops alternatus,LD50,IP,2.24,Mouse
Atractaspididae,Atractaspis dahomeyensis,LD50,IV,2.24,Mouse
Viperidae,Agkistrodon piscivorus,LD50,IV,2.25,Mouse
Viperidae,Crotalus horridus,LD50,SC,2.25,Mouse
Viperidae,Daboia russelii,LD50,IV,2.27,Rat
Viperidae,Agkistrodon taylori,LD50,IP,2.3,Mouse
Viperidae,Echis carinatus,LD50,IV,2.3,Mammal
Viperidae,Crotalus oreganus,LD50,IP,2.3,Mouse
Viperidae,Daboia palaestinae,LD50,SC,2.333,Mouse
Viperidae,Crotalus molossus,LD50,IP,2.35,Mouse
Elapidae,Pseudechis colletti,LD50,SC,2.38,Mouse
Viperidae,Metlapilcoatlus nummifer,LD50,IV,2.4,Mouse
Viperidae,Crotalus ravus,LD50,IV,2.4,Mouse
Viperidae,Bothrops insularis,LD50,IP,2.4,Chicken
Viperidae,Bothrops insularis,LD50,ICL,2.4,Honey Bee
Viperidae,Bothrops mattogrossensis,LD50,IV,2.45,Mouse
Viperidae,Crotalus oreganus,LD50,IV,2.5,Mouse
Viperidae,Bothrops caribbaeus,LD50,IV,2.5,Mouse
Viperidae,Daboia palaestinae,LDLo,IM,2.5,Rat
Viperidae,Macrovipera lebetinus,LDLo,IV,2.5,Rabbit
Viperidae,Protobothrops flavoviridis,LD50,IV,2.5,Mouse
Elapidae,Naja haje,LDLo,SC,2.5,Pigeon
Viperidae,Crotalus cerberus,LD50,IP,2.5,Mouse
Viperidae,Crotalus simus,LD50,IP,2.5,Mouse
Viperidae,Crotalus totonacus,LD50,IP,2.5,Mouse
Viperidae,Crotalus atrox,LDLo,IV,2.5,Monkey
Elapidae,Pseudechis porphyriacus,LD50,SC,2.52,Mouse
Viperidae,Crotalus cerastes,LD50,IV,2.6,Mouse
Viperidae,Crotalus molossus,LD50,IV,2.63,Mouse
Viperidae,Crotalus horridus,LD50,IV,2.63,Mammal
Elapidae,Cryptophis nigrescens,LD50,SC,2.67,Mouse
Viperidae,Crotalus pyrrhus,LD50,IP,2.7,Mouse
Viperidae,Crotalus adamanteus,LDLo,SC,2.7,Mouse
Viperidae,Agkistrodon contortrix,LD50,IV,2.711,Mouse
Viperidae,Macrovipera lebetinus,LD50,SC,2.72,Mouse
Viperidae,Bothrops jararacussu,LD50,IP,2.73,Mouse
Colubridae,Spalerosophis diadema,LD50,IV,2.75,Mouse
Viperidae,Crotalus basiliscus,LD50,SC,2.78,Mouse
Colubridae,Philodryas olfersii,LD50,IP,2.79,Mouse
Viperidae,Deinagkistrodon acutus,LD50,IP,2.8,Mouse
Viperidae,Sistrurus miliarius,LD50,IV,2.8,Mouse
Elapidae,Dendroaspis angusticeps,LD50,IP,2.8,Mouse
Viperidae,Crotalus enyo,LD50,IP,2.8,Mouse
Viperidae,Crotalus tzabcan,LD50,IP,2.8,Mouse
Viperidae,Protobothrops mucrosquamatus,LD50,IP,2.815,Mouse
Viperidae,Calloselasma rhodostoma,LD50,IV,2.82,Mouse
Viperidae,Crotalus durissus,LDLo,IV,2.85,Pigeon
Colubridae,Toxicodryas blandingii,LD50,IP,2.9,Mouse
Viperidae,Crotalus horridus,LD50,IP,2.91,Mammal
Elapidae,Micrurus frontalis,LDLo,IV,3,Rabbit
Viperidae,Bothrops erythromelas,LD50,IP,3.03,Mouse
Viperidae,Bothrops cotiara,LD50,IP,3.08,Mouse
Viperidae,Bitis nasicornis,LDLo,IV,3.2,Rat
Viperidae,Crotalus adamanteus,LDLo,IM,3.2,Pig
Viperidae,Crotalus adamanteus,LDLo,IM,3.2,Guinea Pig
Elapidae,Naja oxiana,LD50,IM,3.3,Mouse
Viperidae,Bothrops insularis,LD50,IP,3.3,Mouse
Colubridae,Boiga melanota,LD50,IP,3.3,Mouse
Viperidae,Trimeresurus albolabris,LD50,IP,3.3,Mouse
Elapidae,Dendroaspis angusticeps,LD50,SC,3.32,Mouse
Elapidae,Micrurus ibiboboca,LD50,IP,3.35,Mouse
Viperidae,Crotalus helleri,LD50,SC,3.56,Mouse
Viperidae,Tropidolaemus wagleri,LD50,IP,3.575,Mouse
Elapidae,Bungarus fasciatus,LD50,SC,3.58,Mouse
Viperidae,Bothrops taeniatus,LD50,IP,3.585,Mouse
Viperidae,Crotalus oreganus,LD50,IM,3.6,Mouse
Elapidae,Furina tristis,LD50,SC,3.61,Mouse
Viperidae,Cerrophidion sasai,LD50,IV,3.6666,Mouse
Viperidae,Bitis arietans,LD50,IP,3.68,Mammal
Viperidae,Crotalus ruber,LD50,IV,3.7,Mammal
Viperidae,Crotalus catalinensis,LD50,IP,3.7,Mouse
Viperidae,Crotalus atrox,LD50,IP,3.71,Mammal
Viperidae,Bothrops atrox,LD50,IP,3.8,Mammal
Viperidae,Protobothrops elegans,LD50,IV,3.8,Mouse
Viperidae,Ovophis okinavensis,LD50,IV,3.83,Mouse
Viperidae,Crotalus ruber,LD50,IP,3.9,Mouse
Colubridae,Boiga dendrophila,LD50,IP,3.9,Mouse
Viperidae,Agkistrodon piscivorus,LDLo,IV,4,Rat
Viperidae,Gloydius halys,LD50,SC,4,Mouse
Viperidae,Agkistrodon piscivorus,LD50,IV,4,Mammal
Viperidae,Calloselasma rhodostoma,LD50,IV,4,Mammal
Viperidae,Bothrops atrox,LD50,IP,4,Mouse
Elapidae,Walterinnesia aegyptia,LDLo,IV,4,Dog
Elapidae,Naja nivea,LDLo,SC,4,Frog
Viperidae,Cerastes vipera,LDLo,IP,4,Rabbit
Atractaspididae,Atractaspis microlepidota,LDLo,SC,4,Mouse
Viperidae,Craspedocephalus gramineus,LD50,SC,4,Mouse
Elapidae,Naja haje,LD50,SC,4,Mouse
Viperidae,Crotalus helleri,LD50,SC,4,Rat
Viperidae,Crotalus ruber,LDLo,IP,4,Mouse
Viperidae,Crotalus cerastes,LD50,IP,4,Mammal
Viperidae,Crotalus basiliscus,LDLo,IP,4,Mouse
Viperidae,Crotalus adamanteus,LDLo,SC,4,Guinea Pig
Viperidae,Protobothrops flavoviridis,LD50,unknown,4.2,Mouse
Viperidae,Crotalus lutosus,LD50,IM,4.2,Mouse
Viperidae,Crotalus atrox,LD50,IV,4.2,Mammal
Viperidae,Bothrops atrox,LD50,IV,4.27,Mammal
Viperidae,Bothrops leucurus,LD50,IP,4.28,Mouse
Viperidae,Protobothrops flavoviridis,LD50,SC,4.3,Mouse
Viperidae,Bothrops jararaca,LD50,SC,4.32,Mouse
Viperidae,Deinagkistrodon acutus,LD50,unknown,4.4,Mouse
Elapidae,Micrurus tener,LD50,SC,4.4,Mouse
Viperidae,Bothriechis nigroviridis,LD50,IV,4.438,Mouse
Viperidae,Bothrops mattogrossensis,LD50,IP,4.475,Mouse
Viperidae,Crotalus atrox,LD50,unknown,4.5,Mouse
Viperidae,Crotalus oreganus,LDLo,IP,4.545,Mouse
Viperidae,Porthidium nasutum,LD50,IV,4.6,Mouse
Viperidae,Crotalus enyo,LD50,IM,4.6,Mouse
Viperidae,Montivipera latifii,LD50,SC,4.61,Mouse
Viperidae,Tropidolaemus wagleri,LD50,SC,4.625,Mouse
Viperidae,Cerrophidion godmani,LD50,IV,4.75,Mouse
Colubridae,Boiga irregularis,LD50,IP,4.75,Skink
Colubridae,Boiga dendrophila,LD50,IV,4.85,Mouse
Elapidae,Notechis scutatus,LD50,IC,4.86,Mouse
Viperidae,Bothrops jararacussu,LD50,SC,4.92,Mouse
Viperidae,Bitis gabonica,LD50,SC,5,Mouse
Viperidae,Agkistrodon piscivorus,LD50,IV,5,Rabbit
Viperidae,Sistrurus miliarius,LD50,IP,5,Mouse
Viperidae,Crotalus adamanteus,LDLo,SC,5,Dog
Viperidae,Bothrops moojeni,LD50,IP,5.01,Mouse
Viperidae,Crotalus helleri,LD50,IM,5.1,Mouse
Viperidae,Agkistrodon piscivorus,LD50,IP,5.11,Mammal
Viperidae,Echis carinatus,LD50,SC,5.13,Rat
Viperidae,Bothriechis lateralis,LD50,IV,5.144,Mouse
Viperidae,Echis coloratus,LD50,SC,5.167,Mouse
Viperidae,Bitis gabonica,LD50,IM,5.2,Mouse
Viperidae,Crotalus pusillus,LD50,IV,5.35,Mouse
Viperidae,Crotalus stephensi,LDLo,IP,5.455,Mouse
Viperidae,Crotalus atrox,LDLo,IP,5.455,Mouse
Viperidae,Echis carinatus,LD50,SC,5.5,Mouse
Viperidae,Crotalus horridus,LD50,IM,5.5,Mammal
Viperidae,Crotalus cerastes,LD50,SC,5.5,Mouse
Viperidae,Metlapilcoatlus mexicanus,LD50,IV,5.656,Mouse
Viperidae,Lachesis muta,LD50,IP,5.93,Mammal
Viperidae,Hypnale hypnale,LD50,IP,6,Mouse
Viperidae,Lachesis muta,LD50,SC,6,Mouse
Viperidae,Protobothrops flavoviridis,LD50,IM,6,Rabbit
Viperidae,Crotalus cerberus,LD50,IM,6,Mouse
Viperidae,Crotalus atrox,LDLo,IM,6,Monkey
Viperidae,Lachesis melanocephala,LD50,IP,6.059,Mouse
Viperidae,Lachesis muta,LD50,IP,6.2,Mouse
Viperidae,Montivipera bornmuelleri,LD50,SC,6.25,Mouse
Viperidae,Bothrops diporus,LD50,IP,6.41,Mouse
Psammophiidae,Malpolon monspessulanus,LD50,IV,6.5,Mouse
Viperidae,Macrovipera lebetinus,LD50,IP,6.6,Mouse
Viperidae,Crotalus ruber,LD50,IP,6.69,Mammal
Viperidae,Sistrurus catenatus,LD50,SC,6.8,Mouse
Viperidae,Porthidium ophryomegas,LD50,IV,6.813,Mouse
Viperidae,Protobothrops mucrosquamatus,LDLo,SC,7,Mouse
Viperidae,Bothrops cotiara,LD50,SC,7.03,Mouse
Homalopsidae,Subsessor bocourti,LD50,IV,7.3,Mouse
Colubridae,Rhabdophis tigrinus,LD50,IM,7.35,Mouse
Viperidae,Protobothrops flavoviridis,LD50,IM,7.5,Mouse
Viperidae,Agkistrodon piscivorus,LDLo,PA,7.5,Mouse
Viperidae,Protobothrops tokarensis,LD50,IV,7.5,Mouse
Viperidae,Crotalus adamanteus,LD50,SC,7.7,Mouse
Viperidae,Crotalus atrox,LD50,SC,7.8,Mouse
Elapidae,Micrurus fulvius,LDLo,IP,8,Rat
Viperidae,Bothrops insularis,LD50,SC,8.2,Mouse
Viperidae,Daboia russelii,LD50,SC,8.25,Mouse
Viperidae,Crotalus molossus,LD50,IM,8.36,Mouse
Viperidae,Bothrops neuwiedi,LD50,SC,8.42,Mouse
Viperidae,Bitis nasicornis,LD50,IM,8.6,Mouse
Viperidae,Protobothrops mucrosquamatus,LD50,SC,8.6,Mouse
Viperidae,Trimeresurus macrops,LD50,IV,8.75,Mouse
Viperidae,Crotalus lepidus,LD50,IM,8.8,Mouse
Viperidae,Deinagkistrodon acutus,LD50,SC,9.2,Mouse
Colubridae,Rhabdophis tigrinus,LD50,SC,9.2,Mouse
Viperidae,Crotalus ruber,LD50,IM,9.2,Mouse
Viperidae,Agkistrodon contortrix,LDLo,IV,9.52,Mouse
Viperidae,Crotalus pyrrhus,LD50,IM,9.6,Mouse
Viperidae,Crotalus ruber,LD50,SC,9.92,Mouse
Viperidae,Bothrops lanceolatus,LD50,IV,10,Mouse
Colubridae,Dispholidus typus,LDLo,SC,10,Mouse
Elapidae,Laticauda semifasciata,LDLo,PA,10,Frog
Elapidae,Naja naja,LDLo,SC,10,Frog
Colubridae,Boiga irregularis,LD50,unknown,10,Mouse
Viperidae,Causus rhombeatus,LD50,IV,10.278,Mouse
Colubridae,Boiga irregularis,LD50,IP,10.33,Mouse
Viperidae,Agkistrodon contortrix,LD50,IP,10.5,Mammal
Viperidae,Crotalus catalinensis,LD50,IM,10.9,Mouse
Viperidae,Agkistrodon contortrix,LD50,IV,10.92,Mammal
Viperidae,Crotalus basiliscus,LD50,IV,11.1,Mouse
Viperidae,Crotalus ravus,LD50,SC,11.25,Mouse
Viperidae,Crotalus pricei,LD50,SC,11.39,Mouse
Viperidae,Crotalus willardi,LD50,IP,12,Mouse
Viperidae,Crotalus willardi,LDLo,IP,12,Mouse
Viperidae,Crotalus atrox,LDLo,PA,12,Dog
Elapidae,Naja atra,LDLo,IC,12.5,Rabbit
Colubridae,Dispholidus typus,LD50,SC,12.5,Mouse
Viperidae,Trimeresurus albolabris,LD50,SC,12.75,Mouse
Viperidae,Bothrops alternatus,LD50,SC,12.85,Mouse
Viperidae,Hypnale hypnale,LD50,IM,13.7,Mouse
Colubridae,Thamnophis elegans,LD50,IP,13.85,Mouse
Elapidae,Demansia olivacea,LD50,SC,14.2,Mouse
Homalopsidae,Homalopsis buccata,LD50,IV,14.3,Mouse
Viperidae,Ovophis okinavensis,LD50,IP,15,Mouse
Colubridae,Dispholidus typus,LDLo,IM,15,Mouse
Elapidae,Hemachatus haemachatus,LDLo,SC,15,Cat
Viperidae,Crotalus helleri,LD50,IM,15,Rat
Viperidae,Crotalus pusillus,LD50,SC,15,Mouse
Viperidae,Crotalus oreganus,LD50,IM,15,Squirrel
Viperidae,Calloselasma rhodostoma,LD50,SC,16.1,Mouse
Viperidae,Daboia russelii,LD50,SC,16.25,Rat
Viperidae,Crotalus willardi,LDLo,SC,16.5,Mouse
Viperidae,Bothrops itapetiningae,LD50,SC,17.19,Mouse
Viperidae,Gloydius blomhoffii,LD50,SC,18.29,Mouse
Viperidae,Bitis nasicornis,LDLo,IP,18.5,Mouse
Viperidae,Craspedocephalus malabaricus,LD50,SC,18.5,Mouse
Viperidae,Crotalus atrox,LD50,IM,19.04,Mouse
Viperidae,Agkistrodon bilineatus,LD50,SC,19.2,Mouse
Viperidae,Lachesis muta,LDLo,IP,20,Mouse
Viperidae,Crotalus ruber,LD50,IV,20,Cat
Viperidae,Protobothrops flavoviridis,LD50,unknown,21.7,Frog
Elapidae,Tropidechis carinatus,LDLo,IV,21.8,Mammal
Viperidae,Bothrops atrox,LD50,SC,22.14,Mouse
Elapidae,Naja atra,LDLo,unknown,22.5,Cat
Viperidae,Sistrurus miliarius,LD50,SC,24.25,Mouse
Elapidae,Emydocephalus annulatus,LD50,SC,25,Mouse
Viperidae,Bothrops alternatus,LDLo,SC,25,Mouse
Elapidae,Naja haje,LDLo,IP,25,Rat
Viperidae,Crotalus atrox,LDLo,unknown,25,Rat
Viperidae,Crotalus adamanteus,LDLo,IP,25,Rat
Viperidae,Crotalus adamanteus,LDLo,IM,25,Rat
Colubridae,Natrix tessellata,LD50,IV,25,Mouse
Colubridae,Hypsiglena jani,LD50,SC,26,Mouse
Viperidae,Crotalus adamanteus,LD50,IM,28,Mouse
Colubridae,Thamnophis sirtalis,LD50,IP,33,Mouse
Viperidae,Daboia siamensis,LD50,PA,34.8,Frog
Viperidae,Agkistrodon piscivorus,LD50,IP,40,Frog
Viperidae,Echis coloratus,LDLo,IV,50,Dog
Elapidae,Naja naja,LDLo,unknown,50,Cattle
Colubridae,Leptodeira annulata,LD50,SC,50,Mouse
Viperidae,Bothrops fonsecai,LD50,IP,56.8,Mouse
Viperidae,Crotalus horridus,LDLo,SC,60,Mammal
Viperidae,Bothrops itapetiningae,LD50,IP,74.4,Mouse
Elapidae,Naja naja,LDLo,unknown,100,Human
Viperidae,Crotalus atrox,LD50,IP,172,Rat
Viperidae,Crotalus adamanteus,LDLo,IP,190,Frog
Elapidae,Naja naja,LDLo,unknown,400,Guinea Pig
Elapidae,Naja naja,LDLo,unknown,500,Rabbit
Viperidae,Crotalus pyrrhus,LD,IN,500,Chicken
Viperidae,Crotalus pyrrhus,LD50,IN,500,Duck
Viperidae,Crotalus helleri,LD50,IV,1000,Cat
Viperidae,Crotalus pyrrhus,LD,IN,1000,Monkey